Metadata section
timestamp: 2026-04-20_18-33-10
humidity: 21.7584616
temperature: 23.985862
temperature2: 25.969
temperature3: 26.31
gyro_offset_xyz: 0.03576635, 0.005480178 0.008126585
gyro_sf: 0.017453292
accel_sf: 9.80665
gyro_so: 131
accel_so: 16384

Data section
time gyro_x gyro_y gyro_z accel_x accel_y accel_z pressure
1175695 -0.0035243892 0.007310021 -0.009991822 0.186747732 0.2896984 10.618284 99158.45
1175706 -0.0005933009 0.009574952 -0.0042628784 0.186747732 0.2705448 10.651803 99158.45
1175715 0.0023377872 0.013838351 -0.012123521 0.191536132 0.31603462 10.692505 99158.45
1175726 0.0008722432 0.031558104 -0.007327197 0.179565132 0.2705448 10.682928 99158.45
1175736 0.0026042462 0.019567296 -0.00972536 0.15562311 0.24420858 10.654198 99158.45
1175745 0.0016716309 0.011706652 -0.0107912092 0.15322891 0.30406362 10.644621 99158.45
1175756 0.0011387058 0.023963926 -0.00679427236 0.19871874 0.28491 10.620679 99158.45
1175766 0.005801797 0.052075716 -0.014788147 0.22266076 0.29209262 10.637438 99158.45
1175786 0.005935028 0.08684907 -0.013722297 0.189141932 0.25378536 10.627861 99158.45
1175795 0.0056685692 0.0703284 -0.037437456 -0.038307228 0.20590134 10.795456 99158.45
1175805 -0.0005933009 -0.0062795652 -0.07594129 0.12928688 0.24899698 10.635044 99159.29
1175815 -0.003924083 -0.028529182 -0.06861357 0.079008652 0.33039984 10.714052 99159.29
1175824 -0.002991464 -0.04957972 -0.041700856 0.16280572 0.33518824 10.67814 99159.29
1175834 -0.00192561368 -0.068898248 -0.009458898 0.11971009 0.2705448 10.697293 99158.45
1175844 -0.0028582328 -0.037855368 -0.007460429 0.23463176 0.2801216 10.529699 99158.45
1175856 0.00193808976 0.0452809236 -0.013322603 0.22266076 0.2801216 10.488997 99159.29
1175866 0.0030039436 0.07246009 -0.011990291 0.17238252 0.2633622 10.656591 99159.29
1175876 0.004469488 0.06006959 -0.008526279 0.1412579 0.30166942 10.737994 99159.29
1175885 0.0047359504 0.06486592 -0.010924441 0.14604631 0.25378536 10.635044 99159.29
1175896 0.0006057769 0.04714616 -0.012389984 0.055066636 0.29927522 10.740389 99159.29
1175906 0.0028707088 0.005311552 -0.010657978 0.177170932 0.2777274 10.606314 99159.96
1175915 -0.0016591512 0.014904203 -0.01305614 0.1340753 0.2657564 10.623073 99159.96
1175925 0.0012719333 0.016236516 -0.021582938 0.11492168 0.25378536 10.6877168 99159.96
1175935 -0.0032579266 0.005844477 -0.044631944 0.1340753 0.24660278 10.6637744 99159.96
1175945 0.0006057769 0.0055780144 -0.036904532 0.11492168 0.2825158 10.651803 99159.96
1175955 0.0016716309 0.0061109408 -0.015454303 0.16519992 0.33758244 10.66138 99159.29
1175965 -0.00339115768 0.007976176 -0.0135890652 0.1604115 0.29448682 10.658986 99159.29
1175975 -0.0051231644 0.009574952 -0.007460429 0.11492168 0.29209262 10.577583 99159.29
1175985 0.0007390119 0.008775566 -0.010924441 0.1604115 0.2753332 10.656591 99159.29
1175995 0.00033931808 0.008242639 -0.01305614 0.15801731 0.25857376 10.584765 99159.29
1176004 0.0028707088 0.007976176 -0.0098585912 0.1340753 0.2801216 10.608707 99159.29
1176014 -0.005256394 0.009175258 -0.011190903 0.184353532 0.30885202 10.682928 99159.96
1176026 0.0023377872 0.008509101 -0.009059204 0.1388637 0.28491 10.635044 99159.96
1176035 -0.0032579266 0.0010481523 -0.0089259732 0.14604631 0.29448682 10.670957 99159.96
1176045 -0.002058845 0.008642333 -0.004929035 0.15562311 0.30166942 10.613496 99159.29
1176055 0.0020713248 0.010374339 -0.01185706 0.11971009 0.32321724 10.670957 99159.29
1176076 -0.0005933009 0.007310021 -0.009059204 0.1388637 0.2633622 10.685322 99159.29
1176084 0.0024710186 0.013172196 -0.0107912092 0.186747732 0.2633622 10.553641 99159.96
1176095 0.00047254936 0.013838351 -0.012922909 0.189141932 0.2657564 10.6158904 99159.96
1176106 -0.0005933009 0.016103282 -0.008393047 0.17477672 0.23702596 10.656591 99159.96
1176115 -0.001126226 0.015703588 -0.0117238284 0.12449849 0.28491 10.6398328 99159.96
1176125 -0.002058845 0.00944172 -0.0107912092 0.1604115 0.31124622 10.692505 99159.96
1176135 -0.00019360706 0.02103284 -0.012789678 0.16519992 0.30406362 10.649409 99159.96
1176144 -0.0015259199 0.026895012 -0.0079933532 0.10055647 0.2705448 10.611102 99159.29
1176186 -0.001126226 0.0123728088 -0.0050622664 0.1316811 0.2825158 10.623073 99159.29
1176206 0.0015383996 0.0142380468 -0.010258284 0.1316811 0.2896984 10.658986 99159.29
1176215 -0.0005933009 0.008375872 -0.010524747 0.12689268 0.2801216 10.603919 99159.29
1176225 -0.0059225504 0.0037127776 -0.012656447 0.11492168 0.2896984 10.668563 99159.29
1176235 -0.00192561368 0.0074432516 -0.009325666 0.1604115 0.2801216 10.647015 99159.29
1176246 0.0042030216 0.008509101 -0.00759365936 0.177170932 0.25617956 10.5919484 99159.29
1176257 -0.0023253076 0.008509101 -0.008526279 0.16280572 0.25857376 10.599131 99159.29
1176267 0.0023377872 0.01144019 -0.011057672 0.181959332 0.272939 10.666168 99159.29
1176276 0.0026042462 0.015037432 -0.009059204 0.16280572 0.29927522 10.637438 99159.29
1176286 -0.0015259199 0.018101752 -0.011057672 0.14844051 0.29927522 10.6398328 99159.29
1176297 0.0007390119 0.0133054268 -0.011457366 0.1364695 0.30166942 10.694899 99159.29
1176316 -0.0017923824 0.010907264 -0.009059204 0.1412579 0.2896984 10.606314 99160.132
1176325 0.003536865 0.008775566 -0.00679427236 0.11731588 0.30166942 10.668563 99160.132
1176335 0.0027374812 0.007576483 -0.008792741 0.12928688 0.29448682 10.6877168 99159.45
1176345 0.0026042462 0.009974645 -0.007460429 0.15083471 0.2873042 10.7116584 99159.45
1176355 -0.0017923824 0.012106346 -0.007726891 0.15322891 0.2777274 10.5919484 99159.45
1176365 -0.002058845 0.016369746 -0.008393047 0.15562311 0.2777274 10.575189 99159.45
1176375 0.00020608678 0.01250604 -0.0055951916 0.14604631 0.25617956 10.611102 99160.132
1176385 -0.0075213256 0.01463774 -0.01185706 0.1436521 0.29688102 10.673351 99160.132
1176395 0.00047254936 0.011040496 -0.009458898 0.15562311 0.2801216 10.627861 99160.132
1176405 -0.0021920764 0.007576483 -0.007860122 0.1412579 0.29209262 10.5919484 99160.132
1176414 0.0006057769 0.009175258 -0.005328729 0.1316811 0.30645782 10.656591 99160.132
1176424 -0.004323777 0.012905734 -0.006661041 0.15562311 0.2896984 10.654198 99160.132
1176436 -0.005389625 0.012106346 -0.010924441 0.12928688 0.29448682 10.560823 99160.132
1176445 -0.0017923824 0.0133054268 -0.01185706 0.16519992 0.25617956 10.642226 99160.132
1176456 -0.0025917702 0.010640802 -0.011190903 0.1388637 0.24899698 10.666168 99160.132
1176466 -0.0023253076 0.0186346768 -0.007726891 0.14844051 0.272939 10.6158904 99160.132
1176486 -0.0064554756 0.007709715 -0.007726891 0.1388637 0.2777274 10.6637744 99160.8
1176495 0.0010054745 0.0055780144 -0.009192435 0.14604631 0.2633622 10.6398328 99160.8
1176505 0.0012719333 0.007576483 -0.013722297 0.14604631 0.30166942 10.637438 99160.8
1176515 -0.0032579266 0.008242639 -0.00546196 0.14604631 0.31124622 10.606314 99160.8
1176524 0.0007390119 0.011839883 -0.010657978 0.14844051 0.29448682 10.5704 99160.8
1176534 0.00367010016 0.017435596 -0.009592129 0.15801731 0.32321724 10.66138 99160.132
1176545 -0.00032683836 0.013971584 -0.01185706 0.17477672 0.2705448 10.637438 99160.132
1176554 0.00020608678 0.012772502 -0.007726891 0.1604115 0.30406362 10.699687 99160.132
1176564 -0.001126226 0.014904203 -0.009991822 0.15322891 0.272939 10.642226 99160.132
1176574 0.0010054745 0.014770972 -0.007327197 0.12210429 0.34237084 10.656591 99160.132
1176583 0.0024710186 0.008109409 -0.008393047 0.1388637 0.272939 10.6398328 99160.132
1176593 0.0006057769 0.010107877 -0.008259816 0.15801731 0.2681506 10.608707 99160.132
1176604 -0.00032683836 0.012106346 -0.0062613472 0.11492168 0.24899698 10.66138 99160.132
1176615 -0.00019360706 0.007043559 -0.012256753 0.11492168 0.32800564 10.69011 99160.132
1176625 0.0011387058 0.0050450904 -0.00865951 0.12928688 0.2873042 10.6398328 99159.45
1176636 -0.001126226 0.011839883 -0.012922909 0.14604631 0.28491 10.601525 99159.45
1176645 0.005935028 0.015437128 -0.011590597 0.1316811 0.25617956 10.682928 99160.132
1176655 -0.0013926886 0.016636208 -0.0051954976 0.11731588 0.29927522 10.613496 99159.45
1176665 -0.00032683836 0.015303895 -0.010657978 0.15801731 0.29688102 10.6158904 99159.45
1176675 -0.0035243892 0.013438659 -0.011990291 0.1388637 0.2657564 10.620679 99159.45
1176716 0.00020608678 0.008775566 -0.007726891 0.15322891 0.29927522 10.582372 99159.45
1176736 0.0023377872 0.015437128 -0.010924441 0.17477672 0.28491 10.649409 99159.45
1176746 0.0023377872 0.019833756 -0.010125053 0.10534488 0.25617956 10.611102 99159.45
1176755 0.0027374812 0.01890114 -0.009991822 0.12210429 0.2681506 10.656591 99159.45
1176765 -0.00192561368 0.011706652 -0.013455834 0.16519992 0.2633622 10.635044 99159.45
1176776 -0.002058845 0.012106346 -0.010125053 0.1436521 0.29688102 10.6637744 99159.45
1176785 0.0042030216 0.009175258 -0.008792741 0.14604631 0.24899698 10.618284 99159.45
1176795 0.0011387058 0.006377402 -0.0051954976 0.1436521 0.30645782 10.66138 99159.45
1176805 0.0014051683 0.007576483 -0.009991822 0.17477672 0.33758244 10.627861 99159.45
1176814 0.0024710186 0.01357189 -0.010657978 0.12928688 0.29927522 10.658986 99159.45
1176826 -0.0031246952 0.015570359 -0.008792741 0.179565132 0.25378536 10.623073 99158.78
